GEOID,County,Total_Renter_Households,Cost_Burdened_Renters,Pct_Cost_Burdened_Renters
12057006504,Hillsborough,220,99,45.0
12057006600,Hillsborough,865,235,27.2
12057006700,Hillsborough,740,360,48.6
12057006801,Hillsborough,885,370,41.8
12057006802,Hillsborough,330,140,42.4
12057006900,Hillsborough,945,345,36.5
12057007001,Hillsborough,870,530,60.9
12057007002,Hillsborough,900,474,52.7
12057007102,Hillsborough,1630,795,48.8
12057007103,Hillsborough,710,215,30.3
12057007200,Hillsborough,980,450,45.9
12057007300,Hillsborough,475,240,50.5
12057010105,Hillsborough,210,80,38.1
12057010106,Hillsborough,305,118,38.7
12057010107,Hillsborough,320,195,60.9
12057010108,Hillsborough,75,19,25.3
12057010203,Hillsborough,445,219,49.2
12057010204,Hillsborough,605,420,69.4
12057010210,Hillsborough,840,335,39.9
12057010211,Hillsborough,645,345,53.5
12057010212,Hillsborough,460,200,43.5
12057010213,Hillsborough,245,88,35.9
12057010215,Hillsborough,60,0,0.0
12057010216,Hillsborough,355,150,42.3
12057010217,Hillsborough,810,325,40.1
12057010218,Hillsborough,625,245,39.2
12057010303,Hillsborough,385,139,36.1
12057010304,Hillsborough,205,104,50.7
12057010305,Hillsborough,485,300,61.9
12057010401,Hillsborough,1395,825,59.1
12057010402,Hillsborough,1440,980,68.1
12057010501,Hillsborough,1650,695,42.1
12057010502,Hillsborough,545,268,49.2
12057010600,Hillsborough,430,214,49.8
12057010701,Hillsborough,740,455,61.5
12057010702,Hillsborough,340,200,58.8
12057010805,Hillsborough,1875,1165,62.1
12057010808,Hillsborough,1420,934,65.8
12057010809,Hillsborough,825,480,58.2
12057010810,Hillsborough,1545,575,37.2
12057010811,Hillsborough,2160,1000,46.3
12057010814,Hillsborough,1115,675,60.5
12057010815,Hillsborough,900,524,58.2
12057010816,Hillsborough,1640,1045,63.7
12057010817,Hillsborough,1220,745,61.1
12057010819,Hillsborough,585,425,72.6
12057010820,Hillsborough,1430,1040,72.7
12057010821,Hillsborough,1040,645,62.0
12057010822,Hillsborough,955,519,54.3
12057010823,Hillsborough,945,540,57.1
12057010824,Hillsborough,1815,1255,69.1
12057010900,Hillsborough,0,0,
12057011003,Hillsborough,1680,1005,59.8
12057011005,Hillsborough,125,80,64.0
12057011006,Hillsborough,260,175,67.3
12057011007,Hillsborough,220,80,36.4
12057011008,Hillsborough,1515,559,36.9
12057011010,Hillsborough,1055,435,41.2
12057011013,Hillsborough,1070,490,45.8
12057011016,Hillsborough,720,300,41.7
12057011017,Hillsborough,435,110,25.3
12057011018,Hillsborough,2170,1125,51.8
12057011019,Hillsborough,1440,665,46.2
12057011103,Hillsborough,95,25,26.3
12057011106,Hillsborough,780,315,40.4
12057011107,Hillsborough,535,220,41.1
12057011108,Hillsborough,130,108,83.1
12057011109,Hillsborough,350,165,47.1
12057011203,Hillsborough,625,335,53.6
12057011204,Hillsborough,620,340,54.8
12057011205,Hillsborough,170,85,50.0
12057011206,Hillsborough,655,455,69.5
12057011301,Hillsborough,210,129,61.4
12057011303,Hillsborough,745,310,41.6
12057011304,Hillsborough,340,165,48.5
12057011407,Hillsborough,280,150,53.6
12057011408,Hillsborough,480,195,40.6
12057011409,Hillsborough,355,209,58.9
12057011410,Hillsborough,495,270,54.5
12057011411,Hillsborough,75,4,5.3
12057011412,Hillsborough,780,504,64.6
12057011413,Hillsborough,535,315,58.9
12057011414,Hillsborough,1350,585,43.3
12057011415,Hillsborough,745,95,12.8
